Baseline Average Throughput,ML Average Throughput,Baseline Sticky Events,ML Sticky Events
95.2,90.8,2,0
91.2,92.8,2,0
90.0,92.2,2,0
87.8,86.6,3,0
88.2,93.6,3,0
90.4,90.2,2,0
95.2,89.4,2,0
92.8,93.8,2,0
84.2,90.2,3,0
84.8,91.0,3,0
91.8,89.8,2,0
92.4,90.4,2,0
85.8,88.2,3,0
94.2,91.0,2,0
86.2,91.0,3,0
87.0,87.0,3,0
93.8,90.6,2,0
90.0,87.6,2,0
93.0,93.0,2,0
92.2,93.2,2,0
94.6,89.0,2,0
91.0,95.4,2,0
95.8,84.2,2,0
88.6,84.2,3,0
89.4,84.4,3,0
91.4,90.4,2,0
90.6,92.8,2,0
85.8,94.2,3,0
87.2,95.8,3,0
90.2,90.4,2,0
89.4,84.4,3,0
91.2,89.0,2,0
89.2,88.2,3,0
87.6,90.6,3,0
94.4,91.8,2,0
87.0,84.2,3,0
88.2,84.4,3,0
86.2,85.6,3,0
89.0,85.8,3,0
86.8,85.4,3,0
91.8,94.2,2,0
89.6,92.8,3,0
84.8,93.6,3,0
89.6,87.2,3,0
90.8,92.2,2,0
87.0,88.8,3,0
85.6,87.6,3,0
91.0,90.6,2,0
89.8,90.4,3,0
91.2,95.8,2,0
85.0,85.2,3,0
85.2,90.6,3,0
93.2,85.4,2,0
88.0,94.4,3,0
88.8,94.6,3,0
88.8,89.0,3,0
88.2,86.0,3,0
91.8,91.6,2,0
90.6,94.0,2,0
92.2,95.0,2,0
87.2,86.2,3,0
84.2,91.0,3,0
89.6,95.4,3,0
94.4,95.2,2,0
91.6,95.4,2,0
86.0,94.8,3,0
89.8,91.4,3,0
85.8,90.6,3,0
87.2,85.4,3,0
93.2,91.0,2,0
84.8,87.8,3,0
85.0,90.6,3,0
91.6,85.6,2,0
85.8,93.6,3,0
87.0,92.6,3,0
93.0,87.6,2,0
93.6,90.2,2,0
93.4,90.8,2,0
90.0,94.0,2,0
93.2,86.4,2,0
85.6,90.6,3,0
94.2,88.0,2,0
87.6,90.8,3,0
86.2,89.6,3,0
87.6,86.6,3,0
87.4,90.2,3,0
84.4,88.2,3,0
